性别,所在城市,消费水平,年龄,最近活跃天数,聚类标签
男,其他,中,46,1,1
男,其他,低,39,15,1
女,其他,低,37,1,0
男,深圳,中,36,6,1
男,其他,高,18,4,1
女,上海,高,32,2,2
女,广州,中,18,3,2
男,北京,高,29,8,1
男,其他,高,30,13,1
男,上海,中,18,11,1
女,上海,中,36,30,2
男,北京,中,32,4,1
男,其他,高,34,9,1
男,北京,中,20,6,1
女,其他,高,21,6,2
男,其他,低,48,3,1
女,深圳,低,46,1,0
女,深圳,中,46,5,2
男,深圳,低,43,4,1
男,北京,低,46,4,1
男,其他,中,49,11,1
男,上海,高,18,16,1
男,北京,中,22,8,1
男,其他,中,40,2,1
女,北京,中,41,5,2
女,广州,中,35,3,2
男,其他,中,36,4,1
女,其他,高,41,6,2
女,深圳,高,22,2,2
男,上海,高,30,3,1
女,深圳,高,27,1,2
男,其他,中,43,4,1
女,其他,中,32,11,2
男,其他,中,37,4,1
男,北京,中,32,10,1
女,深圳,中,39,1,2
男,其他,高,52,8,1
女,深圳,中,37,10,2
女,广州,中,21,2,2
男,广州,中,22,15,1
男,北京,中,23,6,1
女,其他,中,41,7,2
女,广州,低,32,7,0
男,北京,中,30,11,1
男,广州,中,31,4,1
男,北京,高,38,3,1
女,北京,中,33,12,2
男,其他,中,40,26,1
男,其他,低,38,1,1
女,其他,高,35,3,2
男,深圳,中,39,1,1
男,其他,低,33,6,1
女,广州,低,37,15,0
男,上海,中,33,1,1
男,上海,中,28,10,1
女,其他,中,24,9,2
女,北京,高,32,2,2
男,深圳,中,41,2,1
女,深圳,高,23,1,2
男,广州,低,41,5,1
女,北京,低,37,30,0
男,上海,中,49,2,1
男,其他,中,33,13,1
女,北京,中,39,1,2
男,其他,中,25,1,1
男,其他,低,40,9,1
男,北京,中,40,12,1
男,上海,中,53,6,1
男,其他,中,34,2,1
男,北京,高,30,2,1
男,深圳,高,36,10,1
男,其他,低,35,4,1
男,广州,高,34,8,1
男,其他,高,29,1,1
男,广州,中,32,3,1
女,深圳,中,42,12,2
男,其他,中,31,2,1
女,其他,中,34,4,2
男,其他,中,41,4,1
女,深圳,中,33,1,2
女,深圳,中,23,3,2
男,其他,中,46,10,1
女,广州,中,24,7,2
女,广州,高,27,11,2
女,其他,低,38,16,0
男,其他,中,27,12,1
女,深圳,中,25,18,2
男,北京,中,28,27,1
女,北京,中,38,1,2
男,北京,中,35,26,1
女,广州,低,31,4,0
女,北京,中,51,5,2
男,广州,中,39,2,1
男,其他,高,33,10,1
女,其他,中,27,3,2
男,其他,高,36,5,1
男,其他,中,38,18,1
男,其他,低,22,1,1
女,其他,低,44,14,0
男,上海,低,36,10,1
女,深圳,低,36,1,0
男,其他,中,40,9,1
男,上海,中,34,14,1
女,其他,低,25,1,0
男,北京,中,44,2,1
男,其他,低,44,3,1
男,北京,中,28,7,1
女,深圳,中,34,4,2
男,广州,中,23,12,1
男,广州,中,49,1,1
女,其他,中,32,8,2
女,广州,低,39,10,0
男,其他,中,31,1,1
女,上海,中,38,5,2
女,其他,中,37,15,2
男,北京,中,46,2,1
男,北京,低,25,22,1
女,深圳,中,24,1,2
女,其他,中,37,4,2
男,深圳,低,32,4,1
女,其他,低,31,2,0
女,广州,中,29,5,2
男,上海,低,36,5,1
男,北京,中,28,1,1
女,其他,中,26,3,2
男,其他,高,33,4,1
男,其他,中,18,3,1
男,其他,高,26,2,1
女,上海,低,36,8,0
女,上海,低,40,12,0
男,其他,中,32,1,1
女,深圳,中,30,6,2
女,上海,中,27,2,2
男,上海,低,36,4,1
女,广州,中,31,1,2
女,深圳,高,23,20,2
女,上海,中,43,1,2
男,上海,中,46,12,1
女,深圳,中,47,25,2
女,深圳,中,41,1,2
女,深圳,中,34,7,2
男,北京,中,36,28,1
女,其他,低,27,2,0
女,广州,中,18,19,2
男,广州,中,26,1,1
女,其他,中,18,1,2
女,北京,低,33,4,0
男,北京,高,34,6,1
女,其他,中,48,3,2
女,上海,高,33,6,2
女,上海,中,20,13,2
男,上海,低,30,1,1
女,其他,低,34,4,0
男,广州,中,40,4,1
女,其他,中,37,29,2
女,其他,中,41,1,2
女,北京,中,36,1,2
女,广州,低,38,1,0
女,广州,低,26,5,0
男,深圳,中,35,5,1
女,其他,低,39,1,0
男,北京,中,40,1,1
女,广州,中,27,3,2
女,北京,中,43,4,2
女,北京,高,41,30,2
女,其他,低,34,3,0
男,上海,中,30,30,1
女,其他,中,35,10,2
男,深圳,低,31,17,1
男,广州,高,38,19,1
男,北京,中,28,1,1
男,北京,低,27,4,1
女,其他,中,22,2,2
男,北京,低,44,4,1
男,其他,中,32,5,1
男,广州,低,41,6,1
女,其他,高,18,30,2
男,北京,中,37,2,1
女,其他,低,31,3,0
男,深圳,中,31,1,1
男,广州,中,59,1,1
女,其他,中,18,2,2
女,其他,中,52,14,2
女,上海,低,41,1,0
女,上海,低,19,4,0
男,北京,低,42,20,1
女,其他,中,41,1,2
男,北京,高,36,2,1
女,广州,低,29,2,0
男,深圳,中,23,13,1
男,深圳,中,27,3,1
女,上海,中,30,1,2
男,其他,中,46,1,1
女,上海,中,31,5,2
男,深圳,中,38,2,1
女,其他,低,47,13,0
男,其他,高,34,19,1
女,其他,低,36,6,0
男,其他,低,37,6,1
男,其他,高,40,1,1
女,上海,中,32,6,2
女,其他,低,43,14,0
男,北京,低,38,1,1
男,深圳,中,32,7,1
男,深圳,中,25,5,1
男,北京,低,44,2,1
男,其他,中,34,7,1
女,北京,低,36,1,0
女,深圳,低,34,1,0
男,北京,低,32,9,1
男,广州,中,23,24,1
女,北京,高,31,2,2
女,广州,低,43,7,0
男,其他,中,29,5,1
女,其他,中,33,6,2
女,深圳,低,25,1,0
女,北京,中,37,1,2
男,其他,中,36,16,1
男,深圳,高,36,1,1
男,其他,中,33,1,1
女,其他,中,26,4,2
男,其他,低,40,7,1
男,深圳,高,35,13,1
男,广州,中,35,6,1
男,其他,低,48,5,1
女,其他,中,18,2,2
男,北京,低,33,7,1
男,广州,低,48,8,1
男,其他,中,40,5,1
女,广州,中,34,1,2
女,其他,高,33,1,2
男,其他,高,26,1,1
男,其他,中,31,1,1
男,北京,中,52,4,1
男,广州,中,31,16,1
女,其他,低,34,2,0
男,广州,中,30,1,1
女,上海,中,27,15,2
男,北京,高,46,13,1
女,深圳,中,29,1,2
男,上海,中,53,1,1
女,上海,中,22,8,2
男,深圳,低,27,1,1
男,其他,高,37,1,1
男,北京,低,41,3,1
女,其他,中,31,1,2
女,上海,中,35,8,2
男,其他,中,37,1,1
女,深圳,中,36,8,2
男,上海,中,30,8,1
女,北京,低,42,7,0
女,其他,中,35,1,2
女,北京,中,23,2,2
男,北京,高,33,6,1
男,广州,低,40,5,1
男,深圳,低,30,4,1
女,上海,中,29,12,2
女,广州,中,45,7,2
女,上海,中,47,5,2
女,上海,高,43,1,2
女,深圳,低,34,2,0
男,广州,低,36,6,1
女,广州,高,42,9,2
男,其他,低,32,17,1
女,其他,低,19,2,0
男,其他,高,51,2,1
男,广州,中,30,3,1
男,其他,中,35,6,1
男,其他,中,33,1,1
女,深圳,低,37,6,0
女,深圳,低,31,17,0
女,深圳,低,47,5,0
男,上海,高,28,18,1
女,其他,低,30,3,0
女,深圳,高,39,21,2
男,其他,中,29,1,1
男,其他,中,41,22,1
女,广州,高,18,1,2
女,其他,中,46,5,2
男,其他,中,39,1,1
女,广州,中,24,4,2
男,深圳,中,42,6,1
女,北京,高,36,7,2
男,深圳,中,33,1,1
女,北京,低,48,6,0
男,其他,中,25,11,1
男,广州,低,28,11,1
女,北京,中,25,15,2
女,北京,中,24,1,2
男,上海,中,44,1,1
女,深圳,中,21,13,2
男,其他,中,35,1,1
女,其他,低,18,1,0
女,深圳,中,41,17,2
女,其他,中,27,11,2
男,其他,低,27,19,1
女,广州,高,44,1,2
男,广州,中,40,5,1
女,北京,高,33,5,2
男,其他,中,24,1,1
女,其他,中,37,3,2
男,其他,低,42,1,1
女,广州,中,22,4,2
男,广州,中,40,6,1
男,北京,中,40,8,1
女,北京,高,48,1,2
男,上海,中,27,23,1
女,广州,中,35,2,2
男,其他,中,35,1,1
男,其他,高,25,9,1
女,广州,低,30,5,0
女,北京,中,36,1,2
男,其他,中,33,3,1
女,其他,低,34,14,0
女,广州,低,41,1,0
女,北京,低,37,4,0
男,广州,高,24,2,1
男,其他,中,32,3,1
男,北京,中,49,4,1
女,深圳,中,40,2,2
男,广州,中,30,4,1
女,深圳,中,30,2,2
女,其他,高,27,1,2
男,北京,低,39,3,1
男,上海,高,41,4,1
男,广州,中,35,10,1
男,上海,中,32,9,1
男,上海,中,40,3,1
女,北京,中,26,1,2
男,北京,高,39,13,1
女,北京,中,34,10,2
女,其他,高,40,6,2
女,北京,中,21,2,2
女,其他,高,41,9,2
女,北京,低,37,1,0
女,其他,低,32,5,0
男,其他,低,35,3,1
男,上海,低,23,4,1
男,广州,低,35,1,1
男,上海,中,47,1,1
男,其他,中,43,11,1
男,北京,中,34,4,1
女,北京,低,30,9,0
男,深圳,低,25,18,1
男,深圳,高,44,1,1
男,深圳,低,24,8,1
女,广州,中,32,1,2
男,其他,中,36,16,1
男,上海,高,22,6,1
女,广州,低,43,3,0
女,其他,中,37,3,2
女,深圳,低,33,6,0
女,深圳,中,23,14,2
男,其他,低,34,1,1
女,上海,中,34,3,2
女,广州,低,42,4,0
女,广州,中,51,11,2
男,其他,中,27,4,1
女,广州,低,31,7,0
女,广州,低,34,1,0
女,北京,中,30,2,2
女,其他,中,35,5,2
女,其他,高,27,1,2
女,广州,中,39,9,2
男,深圳,高,43,9,1
女,广州,低,36,9,0
男,北京,低,30,2,1
女,深圳,中,33,2,2
女,其他,低,26,10,0
男,其他,中,33,12,1
女,上海,中,37,4,2
男,上海,中,40,10,1
女,深圳,低,29,8,0
男,其他,中,27,1,1
男,其他,中,44,18,1
女,上海,高,37,22,2
男,其他,高,56,1,1
女,广州,低,35,3,0
女,上海,中,47,1,2
女,其他,高,47,1,2
女,北京,中,33,11,2
女,深圳,中,26,21,2
女,深圳,中,38,10,2
男,北京,高,40,17,1
女,其他,中,40,1,2
男,广州,低,26,16,1
男,上海,低,29,1,1
男,上海,低,26,19,1
女,北京,高,43,2,2
男,其他,高,24,17,1
男,上海,低,38,6,1
女,其他,低,24,1,0
女,深圳,低,32,8,0
女,北京,低,24,9,0
女,其他,低,28,11,0
女,北京,中,32,2,2
女,上海,中,31,11,2
男,上海,中,49,19,1
男,上海,中,24,30,1
女,上海,中,42,5,2
女,其他,中,41,2,2
男,其他,中,46,2,1
男,广州,高,33,3,1
男,北京,低,38,11,1
女,北京,中,48,2,2
女,上海,高,35,9,2
女,深圳,中,34,7,2
女,深圳,中,35,2,2
男,北京,高,38,1,1
女,北京,中,40,3,2
女,广州,低,43,17,0
男,其他,中,31,3,1
女,深圳,中,33,20,2
男,其他,高,49,1,1
男,北京,中,18,14,1
女,北京,高,23,1,2
女,其他,低,36,24,0
男,上海,中,43,7,1
女,深圳,高,37,2,2
女,其他,高,46,1,2
女,上海,中,31,2,2
女,其他,低,28,8,0
男,北京,中,32,4,1
男,其他,高,38,2,1
女,其他,中,37,7,2
女,其他,低,25,20,0
女,上海,中,18,10,2
女,深圳,低,37,5,0
女,北京,高,47,21,2
女,上海,低,35,1,0
男,其他,高,43,5,1
女,其他,中,33,8,2
男,北京,高,27,5,1
男,上海,低,46,18,1
男,北京,中,34,1,1
女,深圳,低,26,2,0
女,上海,中,27,3,2
男,北京,中,46,16,1
女,其他,高,25,3,2
女,北京,高,25,13,2
女,上海,高,27,13,2
女,其他,高,32,1,2
女,其他,低,29,1,0
男,广州,低,47,1,1
女,其他,低,38,1,0
女,其他,低,21,1,0
男,深圳,中,18,9,1
男,其他,中,46,3,1
男,上海,低,22,20,1
女,其他,中,18,1,2
男,北京,低,33,9,1
男,北京,低,37,7,1
男,深圳,低,22,6,1
女,上海,中,37,4,2
女,广州,低,28,4,0
女,广州,低,35,2,0
女,广州,中,40,9,2
女,上海,低,39,3,0
男,其他,低,30,8,1
女,广州,中,35,1,2
男,其他,低,38,17,1
男,其他,低,46,7,1
男,深圳,低,35,4,1
男,北京,低,48,1,1
男,广州,中,28,8,1
女,其他,中,42,1,2
男,北京,低,38,6,1
男,北京,中,52,9,1
女,其他,高,32,1,2
男,北京,低,22,1,1
男,上海,中,37,9,1
男,上海,中,29,1,1
女,上海,低,39,19,0
男,广州,中,23,2,1
女,其他,低,32,16,0
男,深圳,高,33,11,1
女,其他,低,38,5,0
男,深圳,中,41,13,1
女,广州,低,31,6,0
男,深圳,中,30,9,1
女,其他,中,30,11,2
女,其他,低,38,9,0
女,深圳,高,38,1,2
男,广州,高,29,13,1
男,其他,中,31,2,1
女,广州,低,40,13,0
男,上海,中,28,4,1
女,其他,中,25,8,2
男,北京,高,37,5,1
男,其他,中,27,2,1
男,北京,低,34,13,1
女,其他,高,32,5,2
女,深圳,高,19,2,2
女,上海,中,34,8,2
女,其他,高,41,27,2
男,上海,高,21,13,1
女,深圳,低,24,8,0
男,北京,中,27,14,1
男,北京,中,27,11,1
女,北京,高,26,8,2
男,上海,中,30,5,1
女,其他,中,42,1,2
男,上海,中,34,10,1
男,其他,低,25,2,1
男,广州,低,35,4,1
女,北京,低,37,20,0
女,深圳,中,31,5,2
女,广州,低,34,4,0
男,北京,中,32,6,1
男,其他,中,36,4,1
女,北京,低,25,15,0
男,其他,中,21,17,1
女,上海,高,32,20,2
女,其他,中,32,12,2
男,其他,高,24,3,1
女,其他,低,28,4,0
女,其他,中,33,5,2
女,深圳,低,46,3,0
女,其他,中,31,1,2
女,北京,低,40,1,0
女,其他,中,45,12,2
女,上海,低,43,2,0
男,其他,高,32,11,1
男,深圳,高,43,30,1
女,其他,高,40,7,2
女,其他,中,42,14,2
男,其他,高,33,2,1
男,北京,中,43,16,1
男,上海,中,37,2,1
女,上海,低,41,10,0
男,其他,低,29,3,1
女,上海,中,26,9,2
女,其他,低,46,15,0
女,其他,中,30,1,2
女,上海,中,37,4,2
女,上海,低,50,1,0
男,上海,中,37,3,1
男,北京,中,41,26,1
男,北京,中,42,1,1
女,上海,中,35,1,2
女,深圳,高,44,2,2
男,北京,低,40,11,1
女,上海,中,42,15,2
女,深圳,低,41,1,0
男,上海,中,28,4,1
女,其他,中,41,5,2
男,其他,中,22,2,1
女,上海,中,43,23,2
男,其他,低,37,2,1
男,广州,低,24,6,1
女,其他,高,36,6,2
女,其他,中,32,6,2
女,深圳,低,42,13,0
男,上海,中,39,2,1
男,其他,中,30,1,1
女,上海,中,38,5,2
男,其他,中,28,7,1
女,广州,高,45,1,2
女,其他,高,30,1,2
男,北京,低,43,9,1
男,广州,中,25,10,1
男,广州,低,18,20,1
女,广州,中,32,10,2
女,北京,中,41,6,2
男,深圳,高,30,4,1
男,北京,低,32,9,1
男,上海,高,26,2,1
男,深圳,中,31,10,1
男,广州,中,28,2,1
女,其他,高,33,5,2
男,广州,中,48,5,1
男,上海,高,31,4,1
女,广州,中,24,3,2
女,其他,低,19,6,0
女,上海,中,46,1,2
男,其他,低,45,9,1
男,北京,高,38,8,1
女,其他,中,45,1,2
男,北京,中,24,5,1
女,其他,中,27,1,2
男,其他,中,39,9,1
女,深圳,低,45,6,0
男,其他,低,53,13,1
男,其他,中,32,5,1
男,其他,中,47,4,1
男,上海,中,36,4,1
女,深圳,低,38,19,0
男,其他,低,38,1,1
男,上海,中,31,6,1
女,深圳,中,27,7,2
女,北京,中,36,25,2
男,深圳,低,43,5,1
男,北京,中,27,1,1
男,深圳,高,47,1,1
女,北京,高,43,1,2
女,其他,中,37,2,2
女,其他,中,37,5,2
女,深圳,中,41,23,2
女,广州,低,36,1,0
女,其他,高,31,11,2
男,其他,中,22,5,1
女,深圳,高,51,4,2
女,上海,高,22,2,2
